Year,long,lat,Borough,crimeType,NumOfCrimes
2011,0.132869,51.545305,Barking and Dagenham,Burglary,2356
2011,0.132869,51.545305,Barking and Dagenham,Criminal Damage,2184
2011,0.132869,51.545305,Barking and Dagenham,Drugs,988
2011,0.132869,51.545305,Barking and Dagenham,Fraud or Forgery,616
2011,0.132869,51.545305,Barking and Dagenham,Other Notifiable Offences,357
2011,0.132869,51.545305,Barking and Dagenham,Robbery,1029
2011,0.132869,51.545305,Barking and Dagenham,Sexual Offences,249
2011,0.132869,51.545305,Barking and Dagenham,Theft and Handling,249
2011,0.132869,51.545305,Barking and Dagenham,Violence Against The Person,4064
2011,-0.20435,51.598981,Barnet,Burglary,4918
2011,-0.20435,51.598981,Barnet,Criminal Damage,2440
2011,-0.20435,51.598981,Barnet,Drugs,1261
2011,-0.20435,51.598981,Barnet,Fraud or Forgery,842
2011,-0.20435,51.598981,Barnet,Other Notifiable Offences,399
2011,-0.20435,51.598981,Barnet,Robbery,1171
2011,-0.20435,51.598981,Barnet,Sexual Offences,301
2011,-0.20435,51.598981,Barnet,Theft and Handling,9755
2011,0.140448,51.459029,Barnet,Violence Against The Person,4199
2011,0.140448,51.459029,Bexley,Burglary,1497
2011,0.140448,51.459029,Bexley,Criminal Damage,1736
2011,0.140448,51.459029,Bexley,Drugs,934
2011,0.140448,51.459029,Bexley,Fraud or Forgery,327
2011,0.140448,51.459029,Bexley,Other Notifiable Offences,195
2011,0.140448,51.459029,Bexley,Robbery,362
2011,0.140448,51.459029,Bexley,Sexual Offences,149
2011,0.140448,51.459029,Bexley,Theft and Handling,4027
2011,0.140448,51.459029,Bexley,Violence Against The Person,2757
2011,-0.267615105,51.55852881,Brent,Burglary,3777
2011,-0.267615105,51.55852881,Brent,Criminal Damage,2404
2011,-0.267615105,51.55852881,Brent,Drugs,4384
2011,-0.267615105,51.55852881,Brent,Fraud or Forgery,984
2011,-0.267615105,51.55852881,Brent,Other Notifiable Offences,480
2011,-0.267615105,51.55852881,Brent,Robbery,2123
2011,-0.267615105,51.55852881,Brent,Sexual Offences,323
2011,-0.267615105,51.55852881,Brent,Theft and Handling,7586
2011,-0.267615105,51.55852881,Brent,Violence Against The Person,7135
2011,0.051581072,51.37200568,Bromley,Burglary,3173
2011,0.051581072,51.37200568,Bromley,Criminal Damage,2665
2011,0.051581072,51.37200568,Bromley,Drugs,1063
2011,0.051581072,51.37200568,Bromley,Fraud or Forgery,564
2011,0.051581072,51.37200568,Bromley,Other Notifiable Offences,224
2011,0.051581072,51.37200568,Bromley,Robbery,707
2011,0.051581072,51.37200568,Bromley,Sexual Offences,234
2011,0.051581072,51.37200568,Bromley,Theft and Handling,8069
2011,0.051581072,51.37200568,Bromley,Violence Against The Person,4626
2011,-0.15753842,51.54638273,Camden,Burglary,3421
2011,-0.15753842,51.54638273,Camden,Criminal Damage,2085
2011,-0.15753842,51.54638273,Camden,Drugs,2563
2011,-0.15753842,51.54638273,Camden,Fraud or Forgery,827
2011,-0.15753842,51.54638273,Camden,Other Notifiable Offences,452
2011,-0.15753842,51.54638273,Camden,Robbery,1449
2011,-0.15753842,51.54638273,Camden,Sexual Offences,337
2011,-0.15753842,51.54638273,Camden,Theft and Handling,13518
2011,-0.15753842,51.54638273,Camden,Violence Against The Person,5580
2011,-0.08714974,51.35540335,Croydon,Burglary,4645
2011,-0.08714974,51.35540335,Croydon,Criminal Damage,3471
2011,-0.08714974,51.35540335,Croydon,Drugs,2335
2011,-0.08714974,51.35540335,Croydon,Fraud or Forgery,803
2011,-0.08714974,51.35540335,Croydon,Other Notifiable Offences,461
2011,-0.08714974,51.35540335,Croydon,Robbery,1778
2011,-0.08714974,51.35540335,Croydon,Sexual Offences,457
2011,-0.08714974,51.35540335,Croydon,Theft and Handling,10142
2011,-0.08714974,51.35540335,Croydon,Violence Against The Person,6613
2011,-0.331103318,51.52252369,Ealing,Burglary,3868
2011,-0.331103318,51.52252369,Ealing,Criminal Damage,3173
2011,-0.331103318,51.52252369,Ealing,Drugs,2221
2011,-0.331103318,51.52252369,Ealing,Fraud or Forgery,993
